expocode,start_date,end_date,map,legs,region,alias,ship,chief_scientist,carbon_PI,hydrography_PI,oxygen_PI,nutrients_PI,cfc_PI,organics_PI,isotopes_PI,other_pi,measurements,cruise_references,data_files,metadata_report,QC_details
09FA20010524,2001-05-24,2001-07-07,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/09FA20010524.jpg,09FA20010524,Pacific,"09FA200105_1, CLIVAR P15S_2001",Franklin,S. Wijffels,"B. Tilbrook, C. Sabine",S. Wijffels,R. Cowley,R. Cowley,"M. Warner, J. Bullister",,J. Lupton,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, TCARBN, ALKALI, HELIUM, DELHE3, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/09FA20010524.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0108083/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0108083.html,https://glodapv2.geomar.de/adjustments/show/09FA20010524
09SS20090203,2009-02-03,2009-03-24,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/P15S_2009.jpg,09SS20090203,Pacific,"ss200901, CLIVAR P15S_2009",Southern Surveyor,B. Sloyan,B. Tilbrook,R. Cowley,R. Cowley,R. Cowley,J. Bullister,,,,"CTDTMP, CTDSAL, CTDOXY, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0108082/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0108082.html,https://glodapv2.geomar.de/adjustments/show/09SS20090203
18DD19851029,1985-10-29,1985-11-12,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19851029,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19851029
18DD19860415,1986-04-15,1986-04-21,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19860415,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSA, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19860415
18DD19890213,1989-02-13,1989-02-24,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19890213,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19890213
18DD19910219,1991-02-19,1991-03-08,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19910219,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19910219
18DD19920203,1992-02-03,1992-02-08,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19920203,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19920203
18DD19920908,1992-09-08,1992-09-25,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19920908,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19920908
18DD19930226,1993-02-26,1993-03-14,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19930226,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19930226
18DD19930514,1993-05-14,1993-05-27,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19930514,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19930514
18DD19940207,1994-02-07,1994-02-15,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19940207,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19940207
18DD19940510,1994-05-10,1994-05-23,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19940510,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19940510
18DD19940906,1994-09-06,1994-11-10,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/PACIFICA/maps/18DD19940906.png,"18DD19940906,18DD19941013",Pacific,"18DD9403_1, WOCE P15Na/PR06, 18DD9403_2, WOCE P15Nb",John P. Tully,J. Garrett,C. S. Wong,R. Perkin,F. Whitney,F. Whitney,C.S. Wong,,C.S. Wong,,"CTDPRS, CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, DELC14, DELC13, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0115011/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0115011.html,https://glodapv2.geomar.de/adjustments/show/18DD19940906
18DD19950207,1995-02-07,1995-02-17,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19950207,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19950207
18DD19950508,1995-05-08,1995-05-22,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19950508,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19950508
18DD19950822,1995-08-22,1995-09-02,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19950822,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19950822
18DD19960219,1996-02-19,1996-03-05,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19960219,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19960219
18DD19960506,1996-05-06,1996-05-29,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19960506,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19960506
18DD19960812,1996-08-12,1996-09-02,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19960812,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19960812
18DD19970212,1997-02-12,1997-02-24,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19970212,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19970212
18DD19970604,1997-06-04,1997-06-24,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19970604,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19970604
18DD19970827,1997-08-27,1997-09-16,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19970827,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19970827
18DD19980219,1998-02-19,1998-03-02,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19980219,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19980219
18DD19980603,1998-06-03,1998-06-22,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19980603,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19980603
18DD19980826,1998-08-26,1998-09-15,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19980826,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19980826
18DD19990209,1999-02-09,1999-02-22,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19990209,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19990209
18DD19990602,1999-06-02,1999-06-22,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19990602,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19990602
18DD19990824,1999-08-24,1999-09-09,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD19990824,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD19990824
18DD20000208,2000-02-08,2000-02-16,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20000208,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20000208
18DD20000531,2000-05-31,2000-06-21,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20000531,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20000531
18DD20000905,2000-09-05,2000-09-15,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20000905,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20000905
18DD20010206,2001-02-06,2001-02-19,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20010206,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20010206
18DD20040218,2004-02-18,2004-02-24,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20040218,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20040218
18DD20040602,2004-06-02,2004-06-16,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20040602,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20040602
18DD20040821,2004-08-21,2004-08-28,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20040821,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20040821
18DD20050211,2005-02-11,2005-02-18,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20050211,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20050211
18DD20060130,2006-01-30,2006-02-15,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20060130,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20060130
18DD20060919,2006-09-19,2006-10-02,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20060919,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20060919
18DD20070208,2007-02-08,2007-02-18,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20070208,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20070208
18DD20070530,2007-05-30,2007-06-11,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20070530,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20070530
18DD20070814,2007-08-14,2007-08-23,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/Line_P_map.jpg,18DD20070814,Pacific,"Station P, Line P",John P. Tully,IOS / Canada,"J. Christian, L. Miller, M. D., J. Linguanti",IOS / Canada,IOS / Canada,IOS / Canada,,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, ALKALI, TCARBN",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0110260/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0110260.html,https://glodapv2.geomar.de/adjustments/show/18DD20070814
