expocode,start_date,end_date,map,legs,region,alias,ship,chief_scientist,carbon_PI,hydrography_PI,oxygen_PI,nutrients_PI,cfc_PI,organics_PI,isotopes_PI,other_pi,measurements,cruise_references,data_files,metadata_report,QC_details
58P320011031,2001-10-31,2007-11-29,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/gfx?id=gov.noaa.nodc:0112884,58P320011031,Arctic,Time Series: Ocean Weather Station Mike; TS Position Norwegian Sea 66°N 2°E,Mike,,"I. Skjelvan, S. Østerhus, F.Rey",S. Østerhus,I.Skjelvan,F.Rey,,,,,"CTDTMP, CTDSAL, OXYGEN, SILCAT, NITRAT, PHSPHT, TCARBN, ALKALI",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58P320011031.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0112884/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0112884.html,https://glodapv2.geomar.de/adjustments/show/58P320011031
74JC19960720,1996-07-20,1996-08-22,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/74JC19960720.jpg,74JC19960720,Arctic,74JC9608,J.C. Ross,A. J. Watson,"T. Johannessen, I. Skjelvan",A.Watson,"A.Watson, S.Mortimer, N.Shuttlewood","A.Watson, S.Mortimer, N.Shuttlewood","A.Olsson, E.Fogelqvist, Mare-Jose Messias",,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, SF6, TCARBN, ALKALI, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/74JC19960720.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113757/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113757.html,https://glodapv2.geomar.de/adjustments/show/74JC19960720
77DN19910726,1991-07-26,1991-09-03,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/77DN19910726.jpg,77DN19910726,Arctic,77DN9107,Oden,"L. Anderson, J.-E. Hellsvik",L.Anderson,J.Swift,Eva Falck,"G. Kattner, L Anderson",P.Jones,,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CCL4, TCARBN, ALKALI, DELO18, DOC, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/77DN19910726.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113591/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113591.html,https://glodapv2.geomar.de/adjustments/show/77DN19910726
77DN20010717,2001-07-17,2001-07-26,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/77DN20010717.jpg,77DN20010717,Arctic,AO-01 Leg 2,Oden,G. Björk,L.Anderson,G. Björk,,,,,,,"CTDTMP, SALNTY, ALKALI, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/77DN20010717.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113589/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113589.html,https://glodapv2.geomar.de/adjustments/show/77DN20010717
77DN20020420,2002-04-20,2002-06-06,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/77DN20020420.jpg,77DN20020420,Arctic,77DN0204,Oden,L.Anderson,L.Anderson,L.Anderson,J.Swift,J.Swift,"P.Jones, A. Olsen",,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, SF6, TCARBN, ALKALI, PH_SWS, PH_TEMP, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/77DN20020420.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113590/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113590.html,https://glodapv2.geomar.de/adjustments/show/77DN20020420
77DN20050730,2005-07-30,2005-08-17,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/ODEN05_map.jpg,77DN20050730,Arctic,"ODEN05 (surface), BE05.2",Oden,M. Tannerfeldt,M.Chierici,,,,,,,,"CTDTMP, SALNTY, TCARBN, ALKALI, PH_TOT, PH_TMP",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/77DN20050730.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0108129/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0108129.html,https://glodapv2.geomar.de/adjustments/show/77DN20050730
77DN20050819,2005-08-19,2005-09-25,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/ODEN05_map.jpg,77DN20050819,Arctic,"ODEN05, AOS-2005",Oden,Anders Karlqvist,L.Anderson,J.Swift,J.Swift,J.Swift,"T. Tanhua, L. Anderson",,,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, SF6, CCL4, TCARBN, ALKALI, PH_SWS, PH_TMP, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/77DN20050819.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0108129/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0108129.html,https://glodapv2.geomar.de/adjustments/show/77DN20050819
77YM19800811,1980-08-11,1980-09-19,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/77YM19800811.jpg,77YM19800811,Arctic,YMER80,Ymer,???,L.Anderson,,L. Anderson,L. Anderson,,,H. Ostlund,,"CTDTMP, CTDSAL, OXYGEN, SILCAT, NITRAT, PHSPHT, TRITUM, TRITER, DELO18, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/77YM19800811.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113607/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113607.html,https://glodapv2.geomar.de/adjustments/show/77YM19800811
90AQ19940706,1994-07-05,1994-08-08,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/90AQ19940706.jpg,90AQ19940706,Arctic,TUNDRA 94,A. Fedorov,???,L.Anderson,,,,,L. Anderson,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, TCARBN, ALKALI, TOC, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/90AQ19940706.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113884/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113884.html,https://glodapv2.geomar.de/adjustments/show/90AQ19940706
90JS20080815,2008-08-15,2008-09-16,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0108368/ISSS-08.jpg,90JS20080815,Arctic,CLIVAR_ISSS_08,Yacob Smirnitskyi,"I. Semiletov, O.Gustafsson",L.Anderson,G.Björk,L.Anderson,L.Anderson,L.Anderson,,,,"CTDTMP, CTDSAL, CTDOXY, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, TCARBN, ALKALI, PH_SWS, PH_TMP, CCL4, AMMONI",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/90JS20080815.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0108368/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0108368.html,https://glodapv2.geomar.de/adjustments/show/90JS20080815
